variable,rmse,mae,correlation,crps,brier_score,pod,far,csi
precipitation,2.00726511436668,0.849185546939009,0.4553204294838257,0.8299832126244189,0.02040750869374388,0.058823529411764705,0.875,0.041666666666666664
wind_speed,2.0086650930990158,1.5143850855336876,0.8327783838774718,1.487791205378611,0.09879705594381985,0.5053956834532374,0.1661721068249258,0.4591503267973856
humidity,6.711965424146659,5.168997480310737,0.9231201024443305,5.002147699756817,0.0812140855531922,0.3512064343163539,0.2556818181818182,0.3133971291866029
