dt,date,pressure,wind_speed,wind_gust
1704312000,2024-01-03 20:00:00+00:00,1009.3,1.4999999,2.3
1704315600,2024-01-03 21:00:00+00:00,1009.2,2.2022717,3.2
1704319200,2024-01-03 22:00:00+00:00,1009.5,2.2825425,3.3
1704322800,2024-01-03 23:00:00+00:00,1010.4,4.560702,5.9999995
1704326400,2024-01-04 00:00:00+00:00,1011.1,4.1868844,6.1999993
1704330000,2024-01-04 01:00:00+00:00,1012.0,2.236068,5.9
1704333600,2024-01-04 02:00:00+00:00,1012.7,1.1,3.6
1704337200,2024-01-04 03:00:00+00:00,1013.1,2.505993,2.5
1704340800,2024-01-04 04:00:00+00:00,1012.8,0.5,6.1999993
1704344400,2024-01-04 05:00:00+00:00,1011.8,0.1,1.9
1704348000,2024-01-04 06:00:00+00:00,1010.9,0.44721362,1.6
1704351600,2024-01-04 07:00:00+00:00,1010.0,0.31622776,1.8
1704355200,2024-01-04 08:00:00+00:00,1009.2,1.8601075,2.9000003
1704358800,2024-01-04 09:00:00+00:00,1008.5,2.5942245,3.9
1704362400,2024-01-04 10:00:00+00:00,1009.0,2.8792365,4.2
1704366000,2024-01-04 11:00:00+00:00,1009.8,2.118962,4.2
1704369600,2024-01-04 12:00:00+00:00,1010.5,1.6552945,3.3
1704373200,2024-01-04 13:00:00+00:00,1010.6,1.7888545,2.5
1704376800,2024-01-04 14:00:00+00:00,1011.3,1.2727922,2.4
1704380400,2024-01-04 15:00:00+00:00,1011.4,1.2206556,1.8
1704384000,2024-01-04 16:00:00+00:00,1011.5,0.92195445,1.8
1704387600,2024-01-04 17:00:00+00:00,1011.4,1.0,1.6
1704391200,2024-01-04 18:00:00+00:00,1010.8,1.264911,2.0
1704394800,2024-01-04 19:00:00+00:00,1010.5,1.7804494,2.7
1704398400,2024-01-04 20:00:00+00:00,1009.6,1.8601075,3.0999997
1704402000,2024-01-04 21:00:00+00:00,1009.2,0.41231057,2.9999998
1704405600,2024-01-04 22:00:00+00:00,1009.6,2.118962,4.1
1704409200,2024-01-04 23:00:00+00:00,1010.0,0.82462114,3.4
1704412800,2024-01-05 00:00:00+00:00,1010.6,0.72801095,1.9
1704416400,2024-01-05 01:00:00+00:00,1011.0,0.5,1.4999999
1704420000,2024-01-05 02:00:00+00:00,1011.5,0.9848858,1.9
1704423600,2024-01-05 03:00:00+00:00,1011.7,1.2083046,2.2
1704427200,2024-01-05 04:00:00+00:00,1011.8,1.7492856,2.6
