dt,date,pressure,wind_speed,wind_gust
1704308400,2024-01-03 19:00:00+00:00,1012.0,7.2835426,10.0
1704312000,2024-01-03 20:00:00+00:00,1012.0,7.902531,10.1
1704315600,2024-01-03 21:00:00+00:00,1012.5,8.203658,10.5
1704319200,2024-01-03 22:00:00+00:00,1012.9,8.296988,10.5
1704322800,2024-01-03 23:00:00+00:00,1013.6,8.367796,10.7
1704326400,2024-01-04 00:00:00+00:00,1013.4,8.158431,10.7
1704330000,2024-01-04 01:00:00+00:00,1012.5,7.8447437,10.1
1704333600,2024-01-04 02:00:00+00:00,1011.4,7.81089,10.0
1704337200,2024-01-04 03:00:00+00:00,1010.4,7.940403,10.2
1704340800,2024-01-04 04:00:00+00:00,1010.0,8.052329,10.4
1704344400,2024-01-04 05:00:00+00:00,1009.9,7.816009,10.4
1704348000,2024-01-04 06:00:00+00:00,1010.1,8.065358,10.3
1704351600,2024-01-04 07:00:00+00:00,1010.6,7.955501,10.4
1704355200,2024-01-04 08:00:00+00:00,1011.3,7.8102503,10.2
1704358800,2024-01-04 09:00:00+00:00,1012.3,7.937884,10.1
1704362400,2024-01-04 10:00:00+00:00,1012.8,7.523962,10.1
1704366000,2024-01-04 11:00:00+00:00,1013.1,6.6730804,9.6
1704369600,2024-01-04 12:00:00+00:00,1013.3,6.0083275,8.5
1704373200,2024-01-04 13:00:00+00:00,1013.3,5.0039983,7.3
1704376800,2024-01-04 14:00:00+00:00,1013.4,4.418144,6.4
1704380400,2024-01-04 15:00:00+00:00,1013.1,4.1773195,5.6
1704384000,2024-01-04 16:00:00+00:00,1012.4,4.0249224,5.4
1704387600,2024-01-04 17:00:00+00:00,1012.1,4.2190046,5.6
1704391200,2024-01-04 18:00:00+00:00,1012.3,4.3416586,5.7
1704394800,2024-01-04 19:00:00+00:00,1012.5,4.2544093,5.7
1704398400,2024-01-04 20:00:00+00:00,1012.8,4.167733,5.6
1704402000,2024-01-04 21:00:00+00:00,1013.2,4.743417,6.1
1704405600,2024-01-04 22:00:00+00:00,1013.8,5.1739736,6.7
1704409200,2024-01-04 23:00:00+00:00,1014.3,5.080354,6.8
1704412800,2024-01-05 00:00:00+00:00,1014.2,5.360038,6.9
1704416400,2024-01-05 01:00:00+00:00,1013.9,5.375872,7.1
1704420000,2024-01-05 02:00:00+00:00,1012.8,5.5865912,7.4
1704423600,2024-01-05 03:00:00+00:00,1011.7,5.249762,7.3
1704427200,2024-01-05 04:00:00+00:00,1011.2,5.544367,7.3
1704430800,2024-01-05 05:00:00+00:00,1011.0,5.728001,7.5
1704434400,2024-01-05 06:00:00+00:00,1011.0,5.9548297,7.8
1704438000,2024-01-05 07:00:00+00:00,1011.6,6.242595,8.1
1704441600,2024-01-05 08:00:00+00:00,1012.3,6.4350605,8.4
1704445200,2024-01-05 09:00:00+00:00,1012.9,7.03278,9.1
1704448800,2024-01-05 10:00:00+00:00,1013.5,6.9778223,9.4
1704452400,2024-01-05 11:00:00+00:00,1013.6,6.4884515,9.2
1704456000,2024-01-05 12:00:00+00:00,1013.6,6.609841,8.6
1704459600,2024-01-05 13:00:00+00:00,1013.3,5.3712196,7.3
1704463200,2024-01-05 14:00:00+00:00,1013.2,5.4083266,7.3
1704466800,2024-01-05 15:00:00+00:00,1012.9,5.3935146,7.2
1704470400,2024-01-05 16:00:00+00:00,1012.4,5.4451814,7.1
1704474000,2024-01-05 17:00:00+00:00,1012.1,5.5081763,7.2
1704477600,2024-01-05 18:00:00+00:00,1012.2,5.7008767,7.4
1704481200,2024-01-05 19:00:00+00:00,1012.6,5.632051,7.5
1704484800,2024-01-05 20:00:00+00:00,1012.9,5.9682493,7.7
1704488400,2024-01-05 21:00:00+00:00,1013.2,6.3788714,8.3
1704492000,2024-01-05 22:00:00+00:00,1014.0,6.9354167,8.9
1704495600,2024-01-05 23:00:00+00:00,1014.7,7.5006666,9.6
1704499200,2024-01-06 00:00:00+00:00,1014.2,7.4242845,9.8
1704502800,2024-01-06 01:00:00+00:00,1013.7,6.9354167,9.1
1704506400,2024-01-06 02:00:00+00:00,1012.2,6.61211,8.9
1704510000,2024-01-06 03:00:00+00:00,1011.4,6.1131005,8.5
1704513600,2024-01-06 04:00:00+00:00,1010.9,5.803448,8.0
1704517200,2024-01-06 05:00:00+00:00,1010.8,5.622277,7.5
1704520800,2024-01-06 06:00:00+00:00,1011.2,6.280127,8.0
1704524400,2024-01-06 07:00:00+00:00,1011.6,6.306346,8.1
1704528000,2024-01-06 08:00:00+00:00,1012.1,5.6921,8.1
1704531600,2024-01-06 09:00:00+00:00,1012.6,6.76757,8.5
1704535200,2024-01-06 10:00:00+00:00,1013.2,6.9079666,8.9
1704538800,2024-01-06 11:00:00+00:00,1013.5,6.9641943,9.0
1704542400,2024-01-06 12:00:00+00:00,1013.6,7.2732387,9.3
1704546000,2024-01-06 13:00:00+00:00,1013.3,6.530697,8.3
1704549600,2024-01-06 14:00:00+00:00,1012.8,6.9462223,8.9
1704553200,2024-01-06 15:00:00+00:00,1012.7,7.209022,9.4
1704556800,2024-01-06 16:00:00+00:00,1012.3,7.155418,9.4
1704560400,2024-01-06 17:00:00+00:00,1011.9,7.1112595,9.4
1704564000,2024-01-06 18:00:00+00:00,1012.0,7.0228205,9.3
1704567600,2024-01-06 19:00:00+00:00,1012.3,7.1168814,9.4
1704571200,2024-01-06 20:00:00+00:00,1012.7,7.4330344,9.5
1704574800,2024-01-06 21:00:00+00:00,1013.4,7.5960517,9.9
1704578400,2024-01-06 22:00:00+00:00,1014.1,7.7369246,9.8
1704582000,2024-01-06 23:00:00+00:00,1014.4,7.787811,10.0
1704585600,2024-01-07 00:00:00+00:00,1014.2,7.6400266,10.0
1704589200,2024-01-07 01:00:00+00:00,1013.7,7.106335,9.4
1704592800,2024-01-07 02:00:00+00:00,1012.8,6.736468,9.1
1704596400,2024-01-07 03:00:00+00:00,1011.9,6.846897,8.8
1704600000,2024-01-07 04:00:00+00:00,1011.2,6.5069194,8.8
1704603600,2024-01-07 05:00:00+00:00,1011.1,6.307139,8.5
1704607200,2024-01-07 06:00:00+00:00,1011.1,6.661081,8.6
1704610800,2024-01-07 07:00:00+00:00,1011.9,7.3756356,9.3
1704614400,2024-01-07 08:00:00+00:00,1012.6,7.472616,9.7
1704618000,2024-01-07 09:00:00+00:00,1013.3,7.242237,9.6
1704621600,2024-01-07 10:00:00+00:00,1013.7,7.17844,9.4
1704625200,2024-01-07 11:00:00+00:00,1013.9,6.640783,9.3
1704628800,2024-01-07 12:00:00+00:00,1013.8,6.5734315,8.6
1704632400,2024-01-07 13:00:00+00:00,1013.3,5.9682493,7.7
1704636000,2024-01-07 14:00:00+00:00,1013.4,5.821512,7.8
1704639600,2024-01-07 15:00:00+00:00,1013.0,5.803448,7.5
1704643200,2024-01-07 16:00:00+00:00,1012.5,6.139218,8.0
1704646800,2024-01-07 17:00:00+00:00,1012.4,6.477654,8.5
1704650400,2024-01-07 18:00:00+00:00,1012.3,6.400781,8.6
1704654000,2024-01-07 19:00:00+00:00,1012.7,6.2289643,8.4
1704657600,2024-01-07 20:00:00+00:00,1013.4,6.0299253,8.3
1704661200,2024-01-07 21:00:00+00:00,1014.2,6.428841,8.3
1704664800,2024-01-07 22:00:00+00:00,1015.0,6.5253353,9.0
1704668400,2024-01-07 23:00:00+00:00,1015.5,6.2361846,8.9
1704672000,2024-01-08 00:00:00+00:00,1015.3,6.8007355,8.9
1704675600,2024-01-08 01:00:00+00:00,1014.4,8.653901,11.1
1704679200,2024-01-08 02:00:00+00:00,1013.5,8.032434,11.1
1704682800,2024-01-08 03:00:00+00:00,1012.8,7.2111025,10.4
1704686400,2024-01-08 04:00:00+00:00,1012.5,6.2641835,9.3
1704690000,2024-01-08 05:00:00+00:00,1012.5,5.135173,8.2
1704693600,2024-01-08 06:00:00+00:00,1012.9,5.2086463,6.8
1704697200,2024-01-08 07:00:00+00:00,1013.6,5.6089215,7.3
1704700800,2024-01-08 08:00:00+00:00,1014.0,5.4571056,7.3
1704704400,2024-01-08 09:00:00+00:00,1014.4,6.0440054,7.7
1704708000,2024-01-08 10:00:00+00:00,1014.7,6.5802736,8.5
1704711600,2024-01-08 11:00:00+00:00,1015.0,6.3788714,8.5
1704715200,2024-01-08 12:00:00+00:00,1015.2,7.3109508,9.3
1704718800,2024-01-08 13:00:00+00:00,1014.8,8.263776,10.6
1704722400,2024-01-08 14:00:00+00:00,1014.6,7.874643,10.7
1704726000,2024-01-08 15:00:00+00:00,1014.1,8.53815,10.9
1704729600,2024-01-08 16:00:00+00:00,1014.2,8.570298,11.1
1704733200,2024-01-08 17:00:00+00:00,1013.8,8.286133,11.1
1704736800,2024-01-08 18:00:00+00:00,1013.7,8.049845,10.7
1704740400,2024-01-08 19:00:00+00:00,1013.8,8.0062475,10.4
